"GeneID","GeneName","control.Expression","treat.Expression","log2FoldChange","pvalue","padj","Up.Down.Regulation","shNC_HT29.1","shNC_HT29.2","shNC_HT29.3","shHMGA1_HT29.1","shHMGA1_HT29.2","shHMGA1_HT29.3"
"ENSG00000166529.14","ZSCAN21",337.7510974,362.8091127,0.103250236,0.410925479,0.581523103,"*",7.75,8.28,8.67,8.23,9.32,8.04
"ENSG00000142507.10","PSMB6",3502.991837,3624.24578,0.04909317,0.410930312,0.581523103,"*",217.53,222.42,237.11,242.72,240.68,234.94
"ENSG00000271576.1","AL359504.2",45.80249772,54.83644795,0.259708849,0.411086053,0.581693636,"*",1.53,0.9,1.15,1.49,1.35,1.52
"ENSG00000130021.13","PUDP",535.4054748,567.9005902,0.08500652,0.411148298,0.581731852,"*",11.76,12.01,12.07,11.07,12.83,12.37
"ENSG00000101544.9","ADNP2",2950.672724,2855.166824,-0.047468869,0.411276689,0.581763933,"*",22.72,24.03,21.68,21.89,21.89,20.9
"ENSG00000078808.16","SDF4",4151.865379,4284.193514,0.045263981,0.411242223,0.581763933,"*",80.22,84.27,87.8,87.38,88.39,86.62
"ENSG00000214174.8","AMZ2P1",334.8220766,311.6026889,-0.103686973,0.411266065,0.581763933,"*",7.63,7.67,8.27,6.56,7.01,6.46
"ENSG00000184497.12","TMEM255B",160.687604,145.1962247,-0.146254697,0.411328281,0.581787062,"*",4.45,3.15,3.52,2.72,3.42,2.85
"ENSG00000133612.19","AGAP3",2052.300804,2132.48742,0.05529503,0.411515806,0.582002437,"*",37.4,35.32,35.31,34.88,39.88,42.07
"ENSG00000177679.16","SRRM3",494.0404604,525.2120255,0.08827075,0.411612608,0.582089476,"*",9.05,8.54,9.15,8.49,10.42,9.75
"ENSG00000166454.10","ATMIN",3066.476739,3174.987847,0.050169062,0.411679907,0.582134782,"*",30.47,31.88,30.73,31.13,34.13,33.18
"ENSG00000158220.14","ESYT3",11.89932614,8.141831012,-0.547454693,0.411857754,0.582297124,"*",0.22,0.09,0.08,0.05,0.05,0.3
"ENSG00000108107.14","RPL28",15297.43045,14741.37229,-0.053418507,0.411865256,0.582297124,"*",1179.7,1094.94,1217.03,1018.29,1159.02,1165.64
"ENSG00000248243.1","LINC02014",20.27447707,15.24418605,-0.411405583,0.412012003,0.582454715,"*",1.68,1.92,1.36,1.11,1.16,1.56
"ENSG00000154813.10","DPH3",617.2475665,650.4212335,0.075525112,0.412056844,0.582468229,"*",9.38,7.67,8.03,7.72,7.88,8.1
"ENSG00000162819.12","BROX",1584.385805,1523.453195,-0.056578505,0.412215877,0.582643144,"*",21.89,22.81,21.16,18.82,19.47,19.74
"ENSG00000100888.13","CHD8",2624.086052,2721.082267,0.052365543,0.412257349,0.582651877,"*",14,16.11,13.02,15.44,15.48,14.95
"ENSG00000274281.1","AC022929.2",69.80813487,59.22856111,-0.237102128,0.412456087,0.582882857,"*",1.48,1.43,1.02,1.32,0.86,1.2
"ENSG00000271119.1","AC026412.3",12.87057333,17.52294754,0.44516915,0.412592873,0.583026255,"*",0.32,0.33,0.32,0.31,0.53,0.51
"ENSG00000129595.13","EPB41L4A",332.9274984,307.271919,-0.115692108,0.412679827,0.583099218,"*",3.39,3.12,2.81,3,3.16,2.45
"ENSG00000283737.1","AL023875.1",75.23872912,65.07111752,-0.209458149,0.412843045,0.583247653,"*",11.97,15.37,16.85,16.19,12.24,11.65
"ENSG00000267078.1","AC015802.1",10.92777367,15.22375154,0.478324412,0.412855538,0.583247653,"*",0.36,0.38,0.27,0.41,0.41,0.61
"ENSG00000239883.8","PARGP1",12.85637776,17.51968412,0.446492538,0.412958676,0.583293531,"*",1.1,0.91,0.84,1.56,1.51,1.02
"ENSG00000139624.12","CERS5",1136.976313,1185.755564,0.06060444,0.412956952,0.583293531,"*",23.86,24.47,24.75,24.85,25.07,26.19
"ENSG00000187918.5","OR51I2",43.99533467,35.10434861,-0.325700788,0.413491281,0.583796079,"*",0.82,0.98,0.56,0.93,0.4,0.52
"ENSG00000196876.9","SCN8A",598.4653839,558.1152426,-0.100704754,0.41342859,0.583796079,"*",3.37,2.25,1.93,3,2,1.85
"ENSG00000249244.1","AC110373.1",20.23187204,14.86790221,-0.444428713,0.41342128,0.583796079,"*",0.27,0.25,0.13,0.23,0.14,0.11
"ENSG00000165525.18","NEMF",1402.949508,1461.458325,0.058945602,0.413461151,0.583796079,"*",23.99,22.39,23.37,24.21,21.61,22.59
"ENSG00000151917.18","BEND6",180.5107915,163.9185675,-0.139105807,0.413396552,0.583796079,"*",2.37,2.39,2.63,2.31,2.63,2.34
"ENSG00000233871.2","DLG5-AS1",8.690418254,12.76115852,0.554261791,0.413686381,0.583988912,"*",0.15,0.09,0.23,0.52,0.57,0.93
"ENSG00000119820.11","YIPF4",1338.478449,1285.189703,-0.058612583,0.413698609,0.583988912,"*",17.82,17.85,20.49,19.19,19.49,19.24
"novel.27240","novel.27240",86.09522984,98.65744308,0.196494591,0.413856457,0.584161787,"*",1.45,1.58,2.14,2.02,2.18,1.82
"ENSG00000151690.15","MFSD6",1382.512723,1329.427304,-0.056487867,0.414024333,0.584348783,"*",13.59,15.93,14.91,14.04,15.61,14.11
"ENSG00000136114.17","THSD1",25.09933951,31.48761683,0.32713517,0.414183019,0.584522778,"*",0.35,0.34,0.24,0.45,0.38,0.37
"ENSG00000113732.9","ATP6V0E1",2019.804305,1949.227512,-0.051313029,0.414381318,0.584752644,"*",66.57,67.88,69.25,67.4,67.39,64.03
"ENSG00000261136.1","AC023908.3",8.024589013,11.98179261,0.578344357,0.414485225,0.58484928,"*",0.1,0.12,0.09,0.06,0.21,0.19
"ENSG00000259529.2","AL136295.5",153.7996344,174.9603136,0.185975637,0.41463585,0.584941849,"*",0.83,1.43,0.74,1,1.18,1.25
"ENSG00000169228.14","RAB24",394.4064508,419.7916864,0.089990447,0.414657124,0.584941849,"*",12.38,11.76,11.96,13.35,12.88,13.31
"ENSG00000105193.9","RPS16",18256.2735,17699.62077,-0.044673861,0.414587014,0.584941849,"*",1742.74,1716.79,1900.69,1769.58,1841.17,1796.33
"ENSG00000159069.14","FBXW5",1965.930601,2048.296717,0.059212326,0.414762097,0.58503994,"*",33.64,33.89,37.11,34.76,38.71,38.4
"ENSG00000161921.15","CXCL16",1414.207341,1473.132515,0.05889356,0.414826021,0.585080117,"*",25.08,24.49,24.7,27.46,27.56,24.71
"ENSG00000145391.13","SETD7",4063.216632,3901.553658,-0.058573543,0.414998539,0.585243675,"*",22.09,21.78,19.81,22.44,19.41,19.45
"ENSG00000240230.6","COX19",473.8854792,504.2265219,0.08953355,0.415012884,0.585243675,"*",6.79,6.54,6.21,5.09,6.42,6.04
"ENSG00000166664.13","CHRFAM7A",109.2845409,94.92565977,-0.20321931,0.415170974,0.585416604,"*",4.93,3.52,2.17,2.74,4.6,1.4
"ENSG00000178127.13","NDUFV2",2799.908694,2889.069627,0.045225192,0.415231271,0.585451623,"*",167.91,175.01,171.34,178.04,184.51,179.56
"ENSG00000183248.12","PRR36",295.2606196,317.2656008,0.103702157,0.41534384,0.585553638,"*",2.71,2.99,2.84,3.28,2.94,3.16
"ENSG00000183955.13","KMT5A",1901.015643,1827.355372,-0.057013176,0.415374563,0.585553638,"*",36.34,34.87,34.81,33.38,34.17,35.19
"ENSG00000247271.6","ZBED5-AS1",142.8562626,127.8956664,-0.159596902,0.415638306,0.585733379,"*",6.66,6.55,6.24,5.41,5,7.03
"ENSG00000003056.3","M6PR",4209.916946,4077.421126,-0.046134803,0.415566959,0.585733379,"*",80.38,82.23,76.01,80.8,74.05,71.76
"ENSG00000086848.15","ALG9",692.4974097,727.4032381,0.070946673,0.415643984,0.585733379,"*",10.76,13.05,12.84,14.75,13.3,12.51
"ENSG00000127980.16","PEX1",1138.464224,1185.596527,0.058524171,0.415608452,0.585733379,"*",11.04,11.76,11.27,13.04,12.76,13.23
"ENSG00000248019.2","FAM13A-AS1",29.78225381,22.90954947,-0.378503848,0.415763497,0.58585179,"*",0.41,0.51,0.35,0.51,0.16,0.3
"ENSG00000004139.14","SARM1",77.45756371,89.82503172,0.213711415,0.415821335,0.585883282,"*",0.46,0.5,0.25,1.49,0.51,0.4
"ENSG00000169249.12","ZRSR2",138.8528333,153.7237709,0.146783656,0.415905504,0.585951866,"*",4.45,4.55,4.57,4.59,4.92,5.77
"ENSG00000169021.6","UQCRFS1",2590.598202,2689.120847,0.053849317,0.415947285,0.585960724,"*",30.03,31.82,33.25,31.15,34.64,33.82
"ENSG00000173418.11","NAA20",1740.992268,1806.459869,0.053255409,0.416013751,0.586004353,"*",61.57,61.69,63.89,67.06,65.3,66.66
"ENSG00000249673.6","NOP14-AS1",353.5044753,379.875682,0.10379888,0.416225485,0.586252583,"*",5.15,5.17,5.51,4.95,6.73,5.01
"ENSG00000231500.7","RPS18",40446.92117,39192.69157,-0.045445235,0.416267282,0.586261437,"*",4989.95,5379.75,5623.17,5292.12,5650.42,5212.67
"ENSG00000123415.15","SMUG1",580.9628014,614.3080087,0.0805164,0.41637588,0.586364362,"*",28.83,30.7,29.55,29.51,31.07,30.77
"ENSG00000186765.11","FSCN2",35.86722828,43.61888317,0.282286569,0.416412731,0.586366238,"*",0.85,1.02,1.13,1.01,1.43,1.39
"ENSG00000133488.14","SEC14L4",658.8197796,695.5548804,0.078280481,0.416592212,0.58656894,"*",7.62,6.89,7.37,7.69,8.16,7.72
"ENSG00000182154.8","MRPL41",1219.71179,1277.443194,0.06671885,0.416670908,0.586629713,"*",135.38,147.47,147.91,140.25,168.1,160.25
"ENSG00000262454.3","MIR193BHG",55.66977055,47.06743281,-0.24216497,0.416717735,0.586645611,"*",0.51,0.68,0.63,1.34,0.62,0.55
"ENSG00000257390.5","AC023055.1",24.53644877,31.46101937,0.358638958,0.417057265,0.587023479,"*",0.45,0.56,0.68,0.46,0.87,0.93
"ENSG00000119943.13","PYROXD2",129.6062961,116.3645744,-0.155483887,0.417036996,0.587023479,"*",4.01,5.51,4.15,5.21,3.42,5.7
"ENSG00000171116.7","HSFX1",14.44472071,19.46548423,0.430375924,0.417145342,0.587097395,"*",0.32,0.27,0.3,0.27,0.35,0.58
"ENSG00000103121.8","CMC2",1146.86599,1096.321038,-0.065026496,0.417182957,0.587100285,"*",108.57,109.29,118.37,112.74,102.3,105.08
"ENSG00000264448.5","MIR378D2HG",29.70572196,23.21785904,-0.355505907,0.417268069,0.587170009,"*",1.46,1.59,1.59,1.41,0.69,1.61
"ENSG00000253738.1","OTUD6B-AS1",891.3483692,849.3788245,-0.069581254,0.417521275,0.587476241,"*",16.67,15.53,14.48,15.12,14.39,15.22
"ENSG00000197180.2","AC244090.1",14.50916891,19.48142114,0.42513404,0.417766336,0.587676274,"*",1.39,1.85,1.65,1.41,2.52,2.85
"ENSG00000180979.10","LRRC57",757.5301416,720.9228768,-0.071458363,0.417750342,0.587676274,"*",10.25,11.16,10.97,10.99,10.33,9.28
"ENSG00000168490.14","PHYHIP",39.95029943,32.43788767,-0.300526441,0.417770231,0.587676274,"*",0.69,0.41,0.92,0.47,0.68,0.5
"ENSG00000039139.9","DNAH5",16.76407056,12.30870581,-0.44569342,0.417863119,0.587740903,"*",0.19,0.27,0.21,0.06,0.11,0.11
"ENSG00000112561.18","TFEB",171.0127236,155.0569157,-0.141305795,0.417887378,0.587740903,"*",3.2,2.98,3.18,2.84,2.48,3.24
"ENSG00000152601.17","MBNL1",4884.072636,4681.282849,-0.061180719,0.417932503,0.587754297,"*",44.22,44.32,39.4,43.03,33.91,41.39
"ENSG00000144061.12","NPHP1",282.8701493,262.4828685,-0.107916675,0.418093933,0.587825522,"*",6.3,5.85,6.13,5.63,5.87,5.52
"ENSG00000264343.6","NOTCH2NLA",307.9088716,284.9281092,-0.111905479,0.418125574,0.587825522,"*",6.73,6.61,6.37,6.83,5.38,6.2
"ENSG00000175048.17","ZDHHC14",305.2891765,283.4525686,-0.107069099,0.418118427,0.587825522,"*",3.87,4.1,3.64,2.75,4.19,3.27
"ENSG00000137274.13","BPHL",829.2945857,872.6224975,0.073472996,0.418099258,0.587825522,"*",18.06,19.9,18.62,18.48,20.54,19.62
"ENSG00000104833.12","TUBB4A",1774.537951,1693.338354,-0.067573155,0.418396521,0.588156349,"*",45.96,45.62,49.33,51.85,45.82,39.21
"ENSG00000139946.10","PELI2",352.4780386,326.1280322,-0.11209492,0.418527282,0.588290072,"*",2.12,2.25,2.1,2.42,1.67,2.08
"ENSG00000185495.10","AC138393.1",65.58735447,76.02500816,0.213056382,0.418661942,0.588429253,"*",2.53,1.41,1.53,1.6,2.77,1.6
"ENSG00000069812.11","HES2",880.2661302,839.3708176,-0.068631453,0.418786248,0.588553858,"*",10.57,10.83,10.61,9.28,9.36,9.84
"ENSG00000249471.8","ZNF324B",202.9379482,220.8227027,0.121849837,0.418832133,0.58856824,"*",3.78,4.19,3.57,4.59,4.29,4.14
"ENSG00000198695.2","MT-ND6",3267.679544,2446.067611,-0.417802226,0.418956946,0.588620265,"*",674.64,351.62,384.94,583.23,263.69,266.33
"ENSG00000246308.1","AC116535.1",12.83829407,17.37445036,0.436513826,0.418941328,0.588620265,"*",0.26,0.22,0.16,0.3,0.29,0.3
"ENSG00000127720.8","METTL25",125.6646632,112.4098003,-0.160811202,0.418976118,0.588620265,"*",2.77,3.15,2.74,2.05,2.48,2.48
"ENSG00000116141.15","MARK1",331.8697142,306.56222,-0.114437064,0.41905635,0.588682886,"*",3.47,4.51,3.21,6.46,2.37,2.98
"ENSG00000198815.9","FOXJ3",2804.958405,2903.193424,0.049661317,0.419105377,0.588701665,"*",20.79,21.87,18.18,20.45,20.36,20.66
"ENSG00000173213.9","TUBB8P12",10.9062087,15.20931973,0.479805959,0.41928684,0.588881807,"*",0.76,0.61,0.58,0.84,0.72,1.2
"ENSG00000117676.14","RPS6KA1",2693.183734,2789.421905,0.050653505,0.419304964,0.588881807,"*",33.6,39.78,38.35,41.98,38.07,34.41
"ENSG00000231609.6","AC007098.1",42.53972007,51.47024162,0.274928015,0.419373755,0.588928319,"*",1.95,2.57,1.55,2.35,1.72,2.61
"ENSG00000144355.15","DLX1",85.26598738,96.8120242,0.183215879,0.419628566,0.589185915,"*",1.91,1.78,1.55,2.17,1.78,1.98
"ENSG00000270207.2","AC077690.1",17.66762667,22.95815466,0.377898432,0.419617688,0.589185915,"*",0.17,0.15,0.15,0.16,0.22,0.23
"ENSG00000188015.10","S100A3",43.30172457,51.84483472,0.259775777,0.420170746,0.589897002,"*",4.35,2.73,3.84,4.59,4.73,3.98
"ENSG00000117480.16","FAAH",479.5563378,451.3568663,-0.087431757,0.42023333,0.589934698,"*",10.49,11,10.91,9.91,10.66,12.17
"ENSG00000227627.2","AL080276.2",78.52877869,90.36152351,0.202487135,0.420305437,0.589985755,"*",7.09,6.9,3.47,5.2,5.52,7.7
"ENSG00000275329.1","AL138781.2",14.72130872,10.39590097,-0.501891137,0.42045215,0.590141519,"*",0.38,0.22,0.37,0.12,0.31,0.26
"ENSG00000143126.8","CELSR2",2450.381835,2573.749826,0.07086525,0.420695058,0.590432263,"*",8.49,8.99,8.97,10.41,8.24,9.07
"ENSG00000184659.4","FOXD4L4",12.55910491,16.97353644,0.434553536,0.420820149,0.590507424,"*",0.17,0.15,0.17,0.2,0.22,0.23
"ENSG00000204828.2","FOXD4L2",12.55910491,16.97353644,0.434553536,0.420820149,0.590507424,"*",0.17,0.15,0.17,0.2,0.22,0.23
"ENSG00000226688.6","ENTPD1-AS1",138.6414731,124.5981383,-0.154076376,0.420924927,0.590604251,"*",8.17,6.73,7.17,6.37,6.02,5.63
"ENSG00000152990.14","ADGRA3",2430.201347,2334.60928,-0.057894728,0.421016353,0.59068233,"*",21.9,23.53,21.1,20.09,23.31,19.42
"ENSG00000116786.13","PLEKHM2",1857.165807,1924.532593,0.05140548,0.421132932,0.590765011,"*",17.33,17.11,17.32,18.67,18.83,17.62
"ENSG00000091039.17","OSBPL8",5212.856096,5024.284496,-0.053155876,0.421146854,0.590765011,"*",36.18,35.28,28.78,35.15,28.81,29.78
"ENSG00000213185.7","FAM24B",50.14809423,59.44539542,0.245370189,0.421412013,0.591086739,"*",5.38,4.35,4.32,7.04,4.67,5.17
"ENSG00000069535.14","MAOB",1551.964757,1622.390371,0.064025198,0.421454339,0.591095887,"*",22.22,23.76,23.98,22.25,27.11,24.54
"ENSG00000149573.9","MPZL2",617.5956857,651.0294675,0.076060171,0.421706963,0.591399954,"*",10.94,11.81,10.77,11.97,11.19,11.75
"ENSG00000203724.11","C1orf53",26.73589394,33.46856324,0.324028704,0.42189511,0.591613554,"*",3.84,3.44,2.73,4.46,5.77,3.45
"ENSG00000083535.16","PIBF1",529.6728753,499.3533789,-0.085040497,0.421978757,0.591680592,"*",8.54,7.76,7.17,7.22,6.13,6.5
"ENSG00000280434.1","AL031595.3",8.06567627,11.64908923,0.530349757,0.422128288,0.591762737,"*",0.02,0.02,0.02,0.03,0.03,0.03
"ENSG00000243789.11","JMJD7",169.8202631,153.5853968,-0.144967564,0.422157588,0.591762737,"*",5.14,4.81,6.77,5.2,6.52,5.63
"ENSG00000147133.15","TAF1",1834.393955,1760.199583,-0.059564486,0.422180721,0.591762737,"*",12.17,12.19,11.4,10.9,13.4,12.47
"ENSG00000268543.1","AC012313.4",8.643275808,12.67086098,0.551864454,0.4221061,0.591762737,"*",1.88,1.91,0.49,2.5,2.23,1.9
"ENSG00000104894.12","CD37",205.9923075,186.9853631,-0.13966512,0.422321042,0.591909167,"*",5.42,6.73,4.14,3.72,5.48,4.77
"ENSG00000181544.15","FANCB",151.0251256,167.0091428,0.145138497,0.422440589,0.592026458,"*",2.29,1.99,1.83,2.83,2.54,2.59
"ENSG00000172062.16","SMN1",2212.164628,2293.897418,0.052342122,0.422551702,0.592131911,"*",64.58,58.55,62.75,64.45,65.54,66.58
"ENSG00000123342.16","MMP19",19.10736636,14.10970536,-0.437441078,0.422903149,0.592530761,"*",0.17,0.44,0.31,0.33,0.48,0.26
"ENSG00000170502.13","NUDT9",494.5457795,524.4470139,0.084692946,0.423036153,0.592530761,"*",12.14,11.72,15.14,15.36,14.16,12.78
"ENSG00000146856.14","AGBL3",19.04577486,25.07368441,0.396703022,0.423081345,0.592530761,"*",1.04,1.79,1.16,1.38,0.39,2.45
"ENSG00000152133.14","GPATCH11",359.6087665,383.907308,0.094329832,0.423066039,0.592530761,"*",3.42,3.56,3.7,4.22,3.47,4.08
"ENSG00000169100.14","SLC25A6",7519.569238,7278.363757,-0.047035863,0.42308028,0.592530761,"*",217.39,218.28,233.07,209.66,233.47,213.68
"ENSG00000286190.1","AC055839.2",14.87281832,10.50978304,-0.50094517,0.423123456,0.592530761,"*",0.35,0.56,0.28,0.21,0.42,0.21
"ENSG00000128242.13","GAL3ST1",38.77588439,31.40829519,-0.304014049,0.423117587,0.592530761,"*",1.11,1.35,1.52,1.11,0.73,1.52
"ENSG00000136231.14","IGF2BP3",4583.26971,4728.930884,0.04513687,0.422912933,0.592530761,"*",66.79,63.48,57.43,64.45,66.23,63.09
"ENSG00000180574.3","EIF2S3B",78.1499293,68.07009986,-0.199223342,0.423719603,0.593315261,"*",1.35,1.59,1.43,1.24,1.2,1.39
"ENSG00000273783.1","AL136040.1",16.05699202,11.65034327,-0.462829193,0.423784261,0.593355472,"*",0.78,0.46,0.72,0.55,0.54,0.36
"novel.24082","novel.24082",256.2708778,234.7352446,-0.126635069,0.423845491,0.593376854,"*",8.11,6.67,6.09,6.87,5.74,6.77
"ENSG00000248871.1","TNFSF12-TNFSF13",38.5750939,31.3765837,-0.297981389,0.42390736,0.593376854,"*",0.99,1.03,0.6,0.73,0.76,0.68
"ENSG00000272767.1","JMJD1C-AS1",53.951431,44.61301067,-0.274196715,0.423903378,0.593376854,"*",1.48,2.05,1.87,0.91,1.56,2.02
"ENSG00000111199.10","TRPV4",34.80448301,28.02536539,-0.312539962,0.424275485,0.593674258,"*",0.39,0.36,0.47,0.27,0.43,0.34
"ENSG00000161513.12","FDXR",3677.434899,3812.296431,0.051960501,0.424299629,0.593674258,"*",79.33,78.44,85.31,77.79,88.38,88.59
"ENSG00000137413.16","TAF8",978.2743553,936.1813854,-0.063451044,0.42425554,0.593674258,"*",8.43,9.51,9.67,9.11,9.62,8.09
"ENSG00000132964.12","CDK8",1045.853688,1001.973418,-0.061836802,0.424190171,0.593674258,"*",13.34,13.24,13.23,13.48,13.51,13.07
"ENSG00000267731.1","AC005332.2",16.92525936,12.33645161,-0.456250456,0.424251482,0.593674258,"*",0.14,0.24,0.28,0.19,0.12,0.18
"ENSG00000187045.18","TMPRSS6",15.12840552,10.93156478,-0.468760013,0.424348032,0.593691667,"*",0.2,0.17,0.17,0.16,0.17,0.09
"ENSG00000140479.17","PCSK6",328.197324,351.8866303,0.100547225,0.424600775,0.593994932,"*",5.84,5.24,6.49,5.75,5.95,5.26
"ENSG00000071889.16","FAM3A",303.0368179,325.7134209,0.10411008,0.42476221,0.594120082,"*",8.42,6.78,7.44,7.55,9.17,8.49
"ENSG00000266086.2","AC015813.2",5974.249442,6241.611689,0.06316113,0.424736312,0.594120082,"*",26.08,26.68,23.97,31.09,28.85,29.67
"ENSG00000106479.11","ZNF862",414.2435378,389.2186593,-0.089898316,0.42497484,0.594324024,"*",3.18,3.91,2.89,3.21,3.91,2.85
"ENSG00000100731.15","PCNX1",3167.224284,3315.845076,0.066157568,0.424980017,0.594324024,"*",11.85,12.05,10.59,13.68,11.5,11.01
"ENSG00000273559.5","CWC25",632.0855158,665.0743042,0.073395776,0.425041804,0.594360084,"*",10.26,11.41,9.93,10.86,10.66,11.48
"ENSG00000275395.5","FCGBP",295.8615835,270.6777177,-0.128346251,0.425358659,0.594752782,"*",1.29,1.44,1.29,1.06,1.55,1.15
"novel.24105","novel.24105",9.975016025,15.65620761,0.650343728,0.42551163,0.594874876,"*",12.56,26.56,0.24,32.8,28.41,13.06
"ENSG00000112130.17","RNF8",1130.878336,1180.614877,0.062094699,0.425518046,0.594874876,"*",27.87,31.38,28.35,31.53,27.21,32.56
"ENSG00000215417.12","MIR17HG",63.48064251,73.46778415,0.210795032,0.42572355,0.595111777,"*",1.55,1.61,1.31,1.74,2.02,2.51
"ENSG00000151006.7","PRSS53",308.0485835,283.5326853,-0.119642845,0.425911682,0.595273955,"*",2.79,4.22,3.67,3.59,3.21,3.5
"ENSG00000115561.16","CHMP3",2938.241416,2835.899077,-0.051146746,0.425907449,0.595273955,"*",41.57,44.24,45.46,40.71,46.55,42.83
"ENSG00000270194.1","AC097359.2",10.26293606,14.31621531,0.480206625,0.426078368,0.595456513,"*",0.22,0.15,0.15,0.27,0.19,0.28
"ENSG00000271870.1","AC024060.1",13.42092791,9.450694161,-0.505992216,0.426189202,0.595510583,"*",2.76,1.92,1.98,1.16,2.24,1.56
"ENSG00000067221.14","STOML1",153.3846491,170.0695827,0.148971031,0.426173499,0.595510583,"*",2.97,2.89,4.14,3.59,4.17,4.16
"ENSG00000110987.8","BCL7A",727.0240562,764.2610439,0.072062393,0.426257384,0.595548899,"*",8,8.54,8.91,9.76,8.47,8.17
"ENSG00000178234.13","GALNT11",1327.829409,1274.402042,-0.059249327,0.426288772,0.595548899,"*",20.35,23.89,20.27,21.68,20.56,24.4
"ENSG00000188199.10","NUTM2B",46.42341993,56.51081137,0.283674096,0.4265606,0.595878232,"*",0.59,0.74,0.37,0.49,0.82,0.65
"ENSG00000205155.8","PSENEN",646.2711033,611.0454391,-0.080859819,0.426757494,0.59610284,"*",35.1,37.5,42.58,34.91,39.55,37.23
"ENSG00000130649.10","CYP2E1",10.255976,14.26212209,0.475723868,0.42681725,0.59613587,"*",0.29,0.48,0.28,0.33,0.44,0.35
"ENSG00000119414.11","PPP6C",1488.537444,1545.005124,0.05371611,0.426889521,0.596186373,"*",14.86,14.18,14.19,16.45,15.46,15.22
"ENSG00000236008.2","LINC01814",104.9139328,92.09067602,-0.188079285,0.427024524,0.596324468,"*",1.24,0.97,0.92,0.54,0.48,0.5
"ENSG00000203875.11","SNHG5",1217.402881,1269.977239,0.060995955,0.42717869,0.5964893,"*",181.27,183.56,195.21,192.33,233.18,208.72
"ENSG00000099385.11","BCL7C",1509.99791,1438.050402,-0.070432312,0.427361047,0.596686555,"*",33.02,33.96,36.24,28.73,36.13,35.43
"ENSG00000271816.1","AC022400.5",40.87493729,48.73370034,0.253703253,0.427392242,0.596686555,"*",0.93,0.79,0.9,1.03,1.21,0.92
"ENSG00000203832.6","NBPF20",2066.022967,2195.534001,0.087715585,0.427481569,0.5967608,"*",49.12,21.3,18.52,24.76,23.23,45.33
"ENSG00000140044.13","JDP2",349.2433235,326.2449214,-0.098277092,0.427541069,0.596793397,"*",10.02,10.78,10.39,11.11,9.01,9.49
"ENSG00000069966.18","GNB5",1379.088162,1308.014741,-0.076335888,0.427801298,0.597106157,"*",24.72,26.83,26.25,29.06,22.09,23.87
"ENSG00000129007.14","CALML4",90.12203958,103.148614,0.194772567,0.42789162,0.597181736,"*",6.47,5.87,7.78,4.76,7.43,9.26
"ENSG00000196476.12","C20orf96",431.2351314,460.3296418,0.094192629,0.428211541,0.597577712,"*",12.11,12.52,12.45,11.47,14.22,14.66
"ENSG00000277159.1","AL139384.2",16.31637569,11.75485022,-0.473064474,0.428364749,0.597740535,"*",0.1,0.24,0.16,0.16,0.13,0.08
"ENSG00000247240.7","UBL7-AS1",101.2920567,89.29240356,-0.181911692,0.428400631,0.597740535,"*",3.39,3.49,2.88,3.18,2.43,2.54
"ENSG00000160539.6","PLPP7",8.407272167,12.11732299,0.527361325,0.428580544,0.59794103,"*",0.12,0.19,0.22,0.14,0.29,0.32
"ENSG00000138738.10","PRDM5",97.48065567,109.7342323,0.170825794,0.428724052,0.598090702,"*",1.35,1.45,1.18,1.62,1.74,1.54
"ENSG00000276337.1","AC105429.1",17.57891434,23.57119181,0.423178732,0.42885784,0.598226792,"*",0.1,0.26,0.13,0.25,0.12,0.29
"ENSG00000196218.12","RYR1",236.1003197,216.8190402,-0.122908541,0.428925793,0.598235028,"*",2.78,2.23,3.45,3.5,1.76,1.55
"ENSG00000253731.2","PCDHGA6",12.23468689,8.500294045,-0.525392527,0.428936218,0.598235028,"*",0.09,0.09,0.07,0.06,0.03,0.08
"ENSG00000142186.17","SCYL1",2546.059022,2458.578574,-0.050441401,0.429221714,0.598582638,"*",37.79,40.12,41.4,37.29,40.17,37.93
"ENSG00000055147.19","FAM114A2",659.8733941,627.1672256,-0.073339081,0.429259485,0.598584749,"*",13.21,12.67,13.37,11.93,13.26,12.93
"ENSG00000274272.1","AC069281.2",60.68733099,51.97922951,-0.223460124,0.429360473,0.598675005,"*",0.5,0.55,0.47,0.47,0.44,0.4
"ENSG00000276529.1","AP001505.1",41.29370729,49.09331996,0.249604786,0.429640577,0.598987299,"*",8.2,8.69,9.88,11.65,9.72,12.64
"ENSG00000066279.18","ASPM",3053.678946,2916.792132,-0.066165815,0.429657011,0.598987299,"*",12.92,13.13,11.61,13.34,11.33,11.37
"ENSG00000149489.8","ROM1",20.96517186,26.52351339,0.339277236,0.429752653,0.599070046,"*",0.94,0.92,0.99,0.86,1.23,1.78
"ENSG00000260007.3","AC107871.1",368.6427976,344.1105989,-0.099351241,0.429790535,0.599072268,"*",4.71,5.07,3.97,4.36,4.29,4.41
"ENSG00000267281.2","ATF7",43.64025161,51.5737651,0.240977952,0.43003782,0.599366346,"*",1.16,1.4,1.42,1.66,1.56,1.57
"ENSG00000011523.14","CEP68",1047.826816,1093.172359,0.061120598,0.43012609,0.599438766,"*",6.91,6.87,6.65,7.26,6.65,7.08
"ENSG00000100341.11","PNPLA5",61.75738969,71.56023444,0.212546339,0.43016837,0.599447086,"*",0.8,1.37,0.98,1.01,1.23,1.29
