"GeneID","GeneName","control.Expression","treat.Expression","log2FoldChange","pvalue","padj","Up.Down.Regulation","shNC_HT29.1","shNC_HT29.2","shNC_HT29.3","shHMGA1_HT29.1","shHMGA1_HT29.2","shHMGA1_HT29.3"
"ENSG00000145901.15","TNIP1",1758.283611,1618.076571,-0.119887915,0.173096706,0.313685876,"*",25.21,26.49,27.57,28.06,22.14,25.35
"ENSG00000100902.10","PSMA6",3695.311942,3915.617527,0.083543696,0.173137526,0.313722688,"*",170.71,174.35,180.38,195.56,189.11,178.46
"ENSG00000215424.9","MCM3AP-AS1",84.49651317,103.8253379,0.297194854,0.173353482,0.314057387,"*",2.24,1.97,1.87,2.2,2.16,2
"ENSG00000241015.2","TPM3P9",165.8346176,193.3231145,0.221268945,0.173360286,0.314057387,"*",3.51,3.93,2.96,4.28,4.63,4.53
"ENSG00000140153.17","WDR20",743.633389,805.2442723,0.114834945,0.173627359,0.314472196,"*",11.78,13.87,11.79,15.54,16.22,11.83
"ENSG00000260908.1","AC009093.3",12.97440271,6.825175244,-0.92673013,0.173623374,0.314472196,"*",0.22,0.38,0.26,0.16,0.2,0.13
"ENSG00000100124.15","ANKRD54",754.933807,819.3489959,0.118127935,0.173747257,0.314654835,"*",17.69,20.39,17.15,17.95,18.86,20.49
"ENSG00000179241.13","LDLRAD3",1236.13585,1332.804322,0.108627682,0.173845571,0.314729305,"*",12.06,12.37,13.08,14.69,12.85,12.86
"ENSG00000173926.6","3-Mar",60.66298401,45.67440822,-0.409430429,0.173836456,0.314729305,"*",1.27,1.22,1,1.37,0.87,0.58
"ENSG00000174521.7","TTC9B",14.21807632,22.67674004,0.673486972,0.173820078,0.314729305,"*",0.45,0.31,0.45,0.7,0.68,0.64
"ENSG00000203985.11","LDLRAD1",13.38724126,6.921387109,-0.951725591,0.173931621,0.314850563,"*",0.14,0.44,0.22,0.25,0.09,0.11
"ENSG00000173011.12","TADA2B",715.1215794,779.3027847,0.123995433,0.174050806,0.315031767,"*",7.53,8.1,7.19,7.63,8.38,8.06
"ENSG00000105793.15","GTPBP10",916.1562486,989.7590568,0.111483696,0.174110491,0.31510525,"*",15.12,14.19,12.89,14.44,16.04,14.11
"ENSG00000146733.14","PSPH",1201.460195,1290.253379,0.102865556,0.17421003,0.315216286,"*",30.14,33.74,33.32,35.95,34.69,36.75
"ENSG00000152669.9","CCNO",141.1544141,168.5719927,0.256090616,0.174196194,0.315216286,"*",3.29,4.22,3.77,3.76,4.69,5.14
"ENSG00000261739.2","GOLGA8S",40.32504294,28.6977467,-0.490738607,0.174229429,0.315216837,"*",0.34,0.37,0.32,0.26,0.27,0.21
"ENSG00000242732.4","RTL5",298.169909,261.6120694,-0.188705569,0.174274673,0.315264143,"*",2.5,2.41,2.72,2.02,2.39,2.39
"ENSG00000066933.16","MYO9A",985.4428099,871.7505614,-0.176856759,0.174474396,0.315590862,"*",5.15,5.44,4.26,4.36,3.61,3.38
"ENSG00000125798.14","FOXA2",25.50267047,15.39064545,-0.728594588,0.174663682,0.315898633,"*",0.4,0.44,0.39,0.23,0.42,0.1
"ENSG00000138794.10","CASP6",639.8162851,697.1019134,0.123711874,0.17474487,0.316010852,"*",22.16,26.31,21.72,25,26.89,27.15
"ENSG00000109861.16","CTSC",1183.507506,1092.182317,-0.115855152,0.174792058,0.316061565,"*",29.66,29.4,30.46,24.06,28.69,24.68
"ENSG00000083844.10","ZNF264",1080.271928,992.7261138,-0.121926867,0.174851975,0.316135282,"*",4.87,5.67,5.23,5.74,7.02,6.05
"ENSG00000143409.15","MINDY1",55.88369783,72.15424089,0.368656705,0.175042372,0.316255224,"*",1.35,1.4,1.64,1.15,1.46,1.44
"ENSG00000153187.20","HNRNPU",29897.5521,31147.00982,0.059066301,0.174953104,0.316255224,"*",372.85,377.56,373.16,382.2,408.46,407
"ENSG00000128052.9","KDR",17.75181935,10.24468189,-0.793091704,0.175012887,0.316255224,"*",0.13,0.15,0.09,0.07,0.09,0.08
"ENSG00000114125.14","RNF7",1372.957606,1480.509105,0.108806283,0.174959789,0.316255224,"*",56.42,56.24,60.5,57.94,70.41,67.42
"ENSG00000183779.7","ZNF703",223.70388,190.7295988,-0.23006153,0.174994205,0.316255224,"*",2.51,2.21,2.86,1.98,2.51,2.04
"ENSG00000168062.10","BATF2",72.19222068,55.57835898,-0.377320145,0.175045019,0.316255224,"*",1.4,1.19,1.72,1.04,1.27,0.89
"ENSG00000272636.4","DOC2B",127.9608077,105.797544,-0.274395867,0.17505241,0.316255224,"*",7.5,6.63,7.76,6.04,7.14,5.41
"ENSG00000103342.13","GSPT1",5463.896371,5715.376327,0.064918374,0.175147285,0.316392004,"*",76.41,79.91,76.23,79.53,81.02,82.7
"ENSG00000240356.6","RPL23AP7",144.9722332,120.3796468,-0.268185116,0.175173079,0.316403978,"*",6.91,8.1,9.3,5.35,7.02,6.39
"ENSG00000222009.8","BTBD19",55.46366166,41.8084941,-0.407746785,0.175206043,0.316428899,"*",1.28,1.33,1.1,1.11,1.09,1.18
"ENSG00000142449.13","FBN3",441.5498157,486.6538161,0.140319656,0.175257728,0.316487621,"*",4.13,4.34,4.08,2.91,3.45,4.14
"ENSG00000135108.14","FBXO21",2169.405383,2303.906198,0.086782315,0.175375356,0.316647353,"*",34.23,34.7,30.38,36.45,30.34,34.06
"ENSG00000231312.6","MAP4K3-DT",90.69097694,71.9938434,-0.333085482,0.175384542,0.316647353,"*",5.32,4.46,3.52,2.1,3.84,4.49
"ENSG00000259206.1","RP13-608F4.8",379.04096,319.8372762,-0.245015667,0.175427838,0.316657353,"*",3.68,4.19,3.55,4.34,2.96,3.13
"ENSG00000215158.9","AC138409.2",92.81302191,115.6950041,0.317927429,0.175428442,0.316657353,"*",1.91,3.01,2.92,3.9,1.9,2.99
"ENSG00000010626.15","LRRC23",245.9717112,213.5468078,-0.203940071,0.175480231,0.316716206,"*",8.88,8.72,9.09,7.44,9.26,7.17
"ENSG00000069424.14","KCNAB2",477.8425835,527.0872126,0.141506265,0.175618698,0.316931469,"*",7.52,7.93,7.12,8.19,7.63,8.65
"ENSG00000181513.14","ACBD4",196.4361244,167.5436268,-0.229523456,0.17571479,0.317070222,"*",6.11,5.25,6.06,3.71,5.43,4.79
"novel.24260","novel.24260",312.6873188,376.4285709,0.267655421,0.17580106,0.317191225,"*",1.49,2.96,2.17,3.13,2.23,2.74
"ENSG00000133477.17","FAM83F",1283.327051,1162.458569,-0.142709584,0.175876351,0.317292392,"*",7.83,7.91,7.95,7.52,9.59,8.54
"ENSG00000070614.15","NDST1",2144.881417,2327.144849,0.117663123,0.176100871,0.317662728,"*",11.7,11.41,10.81,11.89,12.64,12.1
"ENSG00000280195.1","AC245140.2",117.5831031,89.07037653,-0.40066316,0.176174062,0.317760034,"*",2.16,2.75,2.43,2.77,0.99,1.86
"ENSG00000142233.11","NTN5",56.66084509,42.6851901,-0.408616515,0.176228434,0.31782338,"*",1.46,1.42,1.57,1.04,1.02,1.72
"ENSG00000197497.11","ZNF665",18.38855955,10.94108082,-0.749053209,0.176397886,0.318094233,"*",0.82,0.27,0.53,0.23,0.1,0.1
"ENSG00000141934.10","PLPP2",2959.141395,3146.939724,0.088770912,0.17650397,0.318216015,"*",93.6,100.07,106.04,101.38,110.75,113.22
"ENSG00000132275.11","RRP8",343.0707429,383.5657196,0.16096769,0.176492002,0.318216015,"*",6.42,7.95,5.73,7.4,7.22,8.9
"ENSG00000131697.18","NPHP4",656.210269,716.5447283,0.126898593,0.176565867,0.318292848,"*",5.43,5.92,5.73,6.54,5.58,5.97
"ENSG00000180481.11","GLIPR1L2",18.00053149,10.5403606,-0.77211528,0.176616934,0.318350143,"*",0.43,0.45,0.23,0.25,0.27,0.23
"ENSG00000171617.14","ENC1",3716.945021,3922.299322,0.077582287,0.176651929,0.31837846,"*",25.92,29.06,25.46,25.6,29.33,27.77
"ENSG00000159202.18","UBE2Z",5449.324318,5704.086961,0.06591862,0.176749418,0.318519392,"*",68.51,72.88,69.87,75.34,74.57,74.29
"ENSG00000257335.8","MGAM",27.5902766,18.0326012,-0.6135524,0.177025208,0.318911955,"*",0.13,0.1,0.09,0.06,0.09,0.06
"ENSG00000173327.8","MAP3K11",2025.720284,2160.315682,0.092807168,0.176999189,0.318911955,"*",22.42,22.38,23.59,22.14,25.39,24.8
"ENSG00000248663.6","LINC00992",58.52006076,43.15242826,-0.439489523,0.177009155,0.318911955,"*",5.7,4.1,3.85,2.35,4.2,4.03
"ENSG00000135547.9","HEY2",12.87885102,6.82372399,-0.916372692,0.177136043,0.319041996,"*",0.2,0.19,0.17,0.1,0.13,0.07
"ENSG00000197008.9","ZNF138",313.4570523,277.9163078,-0.173617296,0.177122369,0.319041996,"*",6.56,7.11,6.64,6.1,6.03,6.24
"ENSG00000168438.15","CDC40",1943.607346,1820.757663,-0.094197873,0.177182792,0.319091383,"*",18.89,18.76,17.59,18.54,16.47,17.45
"ENSG00000005175.10","RPAP3",1274.971339,1361.824392,0.095075863,0.17725139,0.319180105,"*",31.03,30.98,30.96,37.98,35.55,37.94
"ENSG00000107938.18","EDRF1",1194.08792,1108.533252,-0.107257019,0.177369657,0.319358237,"*",12.88,12.27,11.41,11.78,13.89,13.21
"ENSG00000004534.15","RBM6",2723.59685,2878.809334,0.079959071,0.177638243,0.319806952,"*",36.53,39.98,35.12,37.21,37.66,37.9
"ENSG00000198496.11","NBR2",51.09298486,67.33639429,0.398261249,0.177831903,0.320120694,"*",2.22,1.55,1.89,3.16,2.45,2.14
"ENSG00000068489.12","PRR11",3237.605374,2979.568367,-0.119823798,0.177952778,0.320303359,"*",64.58,58.77,62.4,66.4,46.56,51.26
"ENSG00000163634.12","THOC7",1102.651872,1186.961052,0.106295219,0.17798973,0.320334946,"*",62.69,61.39,66.62,65.62,71.9,71.04
"ENSG00000160767.21","FAM189B",1520.403418,1625.98713,0.096861665,0.178072812,0.320449537,"*",20.86,20.31,22.76,21.78,24.48,24.31
